"id","hs4","cpf4","coef"
1023,"7107","2441",0.1538462
1024,"7108","2441",0.1538462
1025,"7109","2441",0.1538462
1026,"7111","2441",0.1538462
1027,"7115","2441",0.0769231
1028,"7605","2442",0.12
1029,"2818","2442",0.04
1030,"7603","2442",0.12
1031,"7609","2442",0.12
1032,"7608","2442",0.12
1033,"7607","2442",0.12
1034,"7601","2442",0.12
1035,"7606","2442",0.12
1036,"7604","2442",0.12
1037,"8001","2443",0.1111111
1038,"7999","2443",0.1111111
1039,"7905","2443",0.1111111
1040,"7904","2443",0.1111111
1041,"7903","2443",0.1111111
1042,"8003","2443",0.1111111
1043,"7901","2443",0.1111111
1044,"7804","2443",0.1111111
1045,"7801","2443",0.1111111
1046,"7401","2444",0.0833333
1047,"7499","2444",0.0833333
1048,"7412","2444",0.0833333
1049,"7411","2444",0.0833333
1050,"7410","2444",0.0833333
1051,"7409","2444",0.0833333
1052,"7408","2444",0.0833333
1053,"7407","2444",0.0833333
1054,"7406","2444",0.0833333
1055,"7405","2444",0.0833333
1056,"7403","2444",0.0833333
1057,"7402","2444",0.0833333
1058,"8101","2445",0.0337079
1059,"8106","2445",0.0674157
1060,"8107","2445",0.0337079
1061,"7504","2445",0.0674157
1062,"7502","2445",0.0674157
1063,"7501","2445",0.0674157
1064,"8108","2445",0.0337079
1065,"7505","2445",0.0674157
1066,"8105","2445",0.0337079
1067,"8109","2445",0.0337079
1068,"8110","2445",0.0337079
1069,"7506","2445",0.0674157
1070,"7507","2445",0.0674157
1071,"8104","2445",0.0337079
1072,"8103","2445",0.0337079
1073,"8111","2445",0.0674157
1074,"8112","2445",0.0224719
1075,"8113","2445",0.0674157
1076,"8199","2445",0.0674157
1077,"8102","2445",0.0337079
1078,"2844","2446",1.0
1079,"7303","2451",0.5454545
1080,"7399","2451",0.2727273
1081,"7307","2451",0.1818182
1082,"7307","2452",1.0
1083,"9406","2511",0.2857143
1084,"7308","2511",0.2857143
1085,"7610","2511",0.4285714
1086,"7308","2512",0.4
1087,"7610","2512",0.6
1088,"7322","2521",0.3333333
1089,"8403","2521",0.6666667
1090,"7311","2529",0.25
1091,"7309","2529",0.25
1092,"7611","2529",0.25
1093,"7613","2529",0.25
1094,"8401","2530",0.1428571
1095,"8402","2530",0.4285714
1096,"8404","2530",0.4285714
1097,"9620","2540",0.0769231
1098,"9304","2540",0.1538462
1099,"9306","2540",0.1538462
1100,"9305","2540",0.1538462
1101,"9303","2540",0.1538462
1102,"9302","2540",0.1538462
1103,"9301","2540",0.1538462
1104,"9307","2571",0.1418919
1105,"8215","2571",0.1418919
1106,"8213","2571",0.1418919
1107,"9920","2571",0.0067568
1108,"8214","2571",0.1418919
1109,"8211","2571",0.1418919
1110,"8212","2571",0.1418919
1111,"8299","2571",0.1418919
1112,"8301","2572",0.5
1113,"8302","2572",0.5
1114,"8204","2573",0.1
1115,"8209","2573",0.1
1116,"8208","2573",0.1
1117,"8207","2573",0.1
1118,"8206","2573",0.1
1119,"8205","2573",0.1
1120,"8203","2573",0.1
1121,"8202","2573",0.1
1122,"8201","2573",0.1
1123,"8480","2573",0.1
1124,"7310","2591",1.0
1125,"8309","2592",0.4
1126,"7612","2592",0.4
1127,"7310","2592",0.2
1128,"7315","2593",0.0454545
1129,"7616","2593",0.0454545
1130,"7319","2593",0.0909091
1131,"7614","2593",0.0909091
1132,"7320","2593",0.0909091
1133,"8311","2593",0.0909091
1134,"7413","2593",0.0909091
1135,"7415","2593",0.0454545
1136,"7317","2593",0.0909091
1137,"7419","2593",0.0454545
1138,"7312","2593",0.0909091
1139,"7313","2593",0.0909091
1140,"7314","2593",0.0909091
1141,"7415","2594",0.3333333
1142,"7318","2594",0.6666667
1143,"9880","2599",0.0150376
1144,"7316","2599",0.0451128
1145,"7323","2599",0.0451128
1146,"7324","2599",0.0451128
1147,"7325","2599",0.0451128
1148,"7326","2599",0.0451128
1149,"7398","2599",0.0451128
1150,"7418","2599",0.0225564
1151,"7419","2599",0.0225564
1152,"7508","2599",0.0451128
1153,"8487","2599",0.0225564
1154,"7615","2599",0.0451128
1155,"7616","2599",0.0225564
1156,"7806","2599",0.0451128
1157,"7907","2599",0.0451128
1158,"8007","2599",0.0451128
1159,"9615","2599",0.0225564
1160,"8210","2599",0.0451128
1161,"8303","2599",0.0451128
1162,"8304","2599",0.0451128
1163,"8305","2599",0.0451128
1164,"8306","2599",0.0451128
1165,"8307","2599",0.0451128
1166,"8308","2599",0.0451128
1167,"8310","2599",0.0451128
1168,"8505","2599",0.0150376
1169,"8542","2611",0.25
1170,"8522","2611",0.125
1171,"8534","2611",0.125
1172,"8540","2611",0.25
1173,"8541","2611",0.25
1174,"8599","2612",0.4117647
1175,"8534","2612",0.4117647
1176,"9920","2612",0.0392157
1177,"8523","2612",0.1372549
1178,"8472","2620",0.1714286
1179,"8471","2620",0.3428571
1180,"8528","2620",0.1714286
1181,"8443","2620",0.0857143
1182,"8523","2620",0.0571429
1183,"8473","2620",0.1714286
1184,"8531","2630",0.25
1185,"8517","2630",0.25
1186,"8519","2630",0.1666667
1187,"8525","2630",0.1666667
1188,"8529","2630",0.1666667
1189,"8528","2640",0.0833333
1190,"8529","2640",0.0555556
1191,"9504","2640",0.0833333
1192,"8517","2640",0.0833333
1193,"8518","2640",0.1666667
1194,"8519","2640",0.0555556
1195,"8521","2640",0.1666667
1196,"8522","2640",0.0833333
1197,"8525","2640",0.0555556
1198,"8527","2640",0.1666667
1199,"9032","2651",0.0769231
1200,"9031","2651",0.025641
1201,"9030","2651",0.0769231
1202,"9014","2651",0.0769231
1203,"9029","2651",0.0384615
1204,"9028","2651",0.0769231
1205,"9016","2651",0.0769231
1206,"9027","2651",0.0384615
1207,"9012","2651",0.0769231
1208,"9024","2651",0.0769231
1209,"9026","2651",0.0769231
1210,"9017","2651",0.0384615
1211,"9025","2651",0.0384615
1212,"8529","2651",0.025641
1213,"8526","2651",0.0769231
1214,"9015","2651",0.025641
1215,"9033","2651",0.0769231
1216,"9109","2652",0.0711864
1217,"9114","2652",0.0711864
1218,"9102","2652",0.0711864
1219,"9112","2652",0.0711864
1220,"9920","2652",0.0033898
1221,"9105","2652",0.0711864
1222,"9104","2652",0.0711864
1223,"9103","2652",0.0711864
1224,"9101","2652",0.0711864
1225,"9107","2652",0.0711864
1226,"9108","2652",0.0711864
1227,"9106","2652",0.0711864
1228,"9199","2652",0.0711864
1229,"9111","2652",0.0711864
1230,"9110","2652",0.0711864
1231,"9021","2660",0.25
1232,"9022","2660",0.5
1233,"9018","2660",0.25
1234,"9002","2670",0.0923077
1235,"9013","2670",0.0923077
1236,"9011","2670",0.0923077
1237,"9010","2670",0.0923077
1238,"9008","2670",0.0923077
1239,"9620","2670",0.0461538
1240,"9007","2670",0.0923077
1241,"9006","2670",0.0923077
1242,"9005","2670",0.0923077
1243,"9031","2670",0.0307692
1244,"9029","2670",0.0461538
1245,"9027","2670",0.0461538
1246,"9001","2670",0.0307692
1247,"8525","2670",0.0307692
1248,"9015","2670",0.0307692
1249,"8523","2680",1.0
1250,"8501","2711",0.3333333
1251,"8503","2711",0.3333333
1252,"8504","2711",0.1666667
1253,"8502","2711",0.1666667
1254,"8538","2712",0.3333333
1255,"8535","2712",0.1666667
1256,"8536","2712",0.1666667
1257,"8537","2712",0.3333333
1258,"8506","2720",0.5
1259,"8507","2720",0.5
1260,"8544","2731",0.4285714
1261,"9001","2731",0.5714286
1262,"8544","2732",1.0
1263,"3925","2733",0.375
1264,"8547","2733",0.25
1265,"8536","2733",0.375
1266,"8512","2740",0.125
1267,"8513","2740",0.375
1268,"8539","2740",0.375
1269,"9405","2740",0.125
1270,"8450","2751",0.0731707
1271,"8509","2751",0.1463415
1272,"8414","2751",0.0487805
1273,"8508","2751",0.1463415
1274,"8516","2751",0.1463415
1275,"6301","2751",0.0731707
1276,"8451","2751",0.0731707
1277,"8422","2751",0.0731707
1278,"8418","2751",0.0731707
1279,"8510","2751",0.1463415
1280,"7418","2752",0.2307692
1281,"7322","2752",0.2307692
1282,"8419","2752",0.0769231
1283,"7321","2752",0.4615385
1284,"8543","2790",0.0472441
1285,"8544","2790",0.023622
1286,"8515","2790",0.0944882
1287,"8535","2790",0.0472441
1288,"8533","2790",0.0944882
1289,"8532","2790",0.0944882
1290,"8531","2790",0.0472441
1291,"8530","2790",0.0944882
1292,"8545","2790",0.0944882
1293,"8547","2790",0.0314961
1294,"8548","2790",0.0472441
1295,"8598","2790",0.0944882
1296,"8599","2790",0.0472441
1297,"8546","2790",0.0314961
1298,"8504","2790",0.0472441
1299,"8505","2790",0.0314961
1300,"9880","2790",0.0314961
1301,"8407","2811",0.0769231
1302,"8408","2811",0.1153846
1303,"8409","2811",0.1153846
1304,"8410","2811",0.2307692
1305,"8411","2811",0.1153846
1306,"8502","2811",0.1153846
1307,"8406","2811",0.2307692
1308,"8412","2812",0.3333333
1309,"8413","2812",0.3333333
1310,"8481","2812",0.3333333
1311,"8414","2813",0.4
1312,"8413","2813",0.6
1313,"8481","2814",1.0
1314,"7315","2815",0.2
1315,"8483","2815",0.4
1316,"8482","2815",0.4
1317,"8514","2821",0.4
1318,"8417","2821",0.2
1319,"8416","2821",0.4
1320,"8428","2822",0.1
1321,"8427","2822",0.2
1322,"8426","2822",0.2
1323,"8425","2822",0.2
1324,"8709","2822",0.2
1325,"8431","2822",0.1
1326,"8443","2823",0.0967742
1327,"8472","2823",0.1935484
1328,"8519","2823",0.1290323
1329,"8473","2823",0.1935484
1330,"8470","2823",0.3870968
1331,"8467","2824",1.0
1332,"8414","2825",0.1515152
1333,"8415","2825",0.4545455
1334,"8418","2825",0.2272727
1335,"8419","2825",0.0757576
1336,"8421","2825",0.0909091
1337,"8419","2829",0.0191571
1338,"8484","2829",0.1149425
1339,"8420","2829",0.1149425
1340,"8476","2829",0.1149425
1341,"9017","2829",0.0574713
1342,"8423","2829",0.1149425
1343,"8468","2829",0.1149425
1344,"9015","2829",0.0383142
1345,"8405","2829",0.1149425
1346,"8422","2829",0.0574713
1347,"8424","2829",0.0574713
1348,"8487","2829",0.0574713
1349,"8421","2829",0.0229885
1350,"8716","2830",0.0666667
1351,"8499","2830",0.0666667
1352,"8701","2830",0.0666667
1353,"8432","2830",0.2
1354,"8433","2830",0.2
1355,"8434","2830",0.1
1356,"8436","2830",0.2
1357,"8424","2830",0.1
1358,"8466","2841",0.0454545
1359,"8460","2841",0.1363636
1360,"8463","2841",0.1363636
1361,"8459","2841",0.0681818
1362,"8461","2841",0.1363636
1363,"8458","2841",0.1363636
1364,"8457","2841",0.1363636
1365,"8456","2841",0.1363636
1366,"8462","2841",0.0681818
1367,"8499","2849",0.0754717
1368,"8479","2849",0.0566038
1369,"8466","2849",0.0754717
1370,"8465","2849",0.2264151
1371,"8464","2849",0.2264151
1372,"8462","2849",0.1132075
1373,"8459","2849",0.1132075
1374,"8543","2849",0.1132075
1375,"8454","2891",0.5
1376,"8455","2891",0.5
1377,"8701","2892",0.0727273
1378,"8474","2892",0.1090909
1379,"8704","2892",0.1090909
1380,"8479","2892",0.0545455
1381,"8431","2892",0.1090909
1382,"8430","2892",0.2181818
1383,"8429","2892",0.2181818
1384,"8428","2892",0.1090909
1385,"8419","2893",0.0296736
1386,"8478","2893",0.1780415
1387,"8438","2893",0.1780415
1388,"8437","2893",0.1780415
1389,"8417","2893",0.0890208
1390,"8435","2893",0.1780415
1391,"8434","2893",0.0890208
1392,"8479","2893",0.0445104
1393,"8421","2893",0.0356083
1394,"8445","2894",0.1058201
1395,"8449","2894",0.1058201
1396,"8450","2894",0.0529101
1397,"8451","2894",0.0529101
